# 二简词
bf	不要
bq	并且 帮
bt	不同
bx	不行
by	表示 报
cc	从此
cg	错过
cm	聪明 窜
cq	采取 藏
cx	操心 凑
dn	电脑 大
dx	大小 都 丢
eg	中国 抓
fc	服从 因此
fh	符合 月
fj	以及 反 眼
fm	郁闷 元
fn	一年 发 压
fq	要求 因而 放 样
fr	有人 风
fx	有些 以下 有
gc	刚才
gk	赶快 光
hc	花草
hk	很快 黄
jc	为此 叫
jq	完全 望
kc	快餐
kk	可靠 况
ln	两年 拉
mf	满意
mt	明天
mx	梦想 某 谬
np	哪怕
pf	拼音
pq	脾气 平安 旁
pt	平台
py	平时 跑
rc	如此
rg	人工
rh	如何
rm	人们 软
rq	日期 让
rs	热搜 热
rx	热线 肉
sc	三次
sg	搜狗
sm	司马 算
sq	索取 桑
sx	思想 搜
tn	太难 她
tq	天气 唐
tx	同学 头
yc	上次
yf	使用 水
zc	字词
ze	组长 贼
zf	做饭 最
zg	字根
zm	在吗
zt	昨天
zx	仔细 走
# 630
ba	不能
baa	步骤
bai	不了
bao	宝贝
bau	不好
bav	办法
bi	不但
bia	不仅
bii	别人
bio	不错
biu	不少
biv	不会
bo	不是
boa	不让
boi	便是
boo	表情
bou	不断
bov	毕竟
bu	不用
bua	不然
bui	别的
buo	部分
buu	必须
buv	不管
bv	不过
bva	不到
bvi	不想
bvo	本来
bvu	变成
bvv	白天
ca	参加
caa	曾经
cai	错了
cao	才能
cau	刺激
cav	脆弱
ci	操作
cia	从中
cii	此人
cio	促销
ciu	从小
civ	从此
co	才是
coa	测试
coi	此时
coo	匆忙
cou	此前
cov	此刻
cu	采用
cua	此外
cui	摧毁
cuo	参考
cuu	厕所
cuv	侧重
cv	存在
cva	参与
cvi	从事
cvo	从来
cvu	才有
cvv	从未
da	到了
daa	大约
dai	肚子
dao	都能
dau	打架
dav	登录
di	多少
dia	当中
dii	多个
dio	短信
diu	动作
div	都会
do	但是
doa	的话
doi	都是
doo	大家
dou	弟弟
dov	地方
du	当然
dua	多么
dui	独自
duo	读者
duu	等待
duv	打算
dv	东西
dva	大概
dvi	底下
dvo	大哥
dvu	都有
dvv	对于
ea	只能 逐渐
eao	针对
eau	只好 正好
